Resort,Season,OPENING DATE,CLOSING DATE
Heavenly,2014/2015,11/21/14,4/19/15
Heavenly,2015/2016,11/21/15,4/24/16
Heavenly,2016/2017,11/23/16,4/30/17
Heavenly,2017/2018,11/17/17,4/22/18
Heavenly,2018/2019,11/16/18,5/27/19
Heavenly,2019/2020,11/27/19,3/14/20
Heavenly,2020/2021,11/20/20,4/18/21
Heavenly,2021/2022,12/11/21,4/24/22
Heavenly,2022/2023,11/12/22,5/7/23
Heavenly,2023/2024,11/21/23,4/22/24
Heavenly,2024/2025,11/21/24,4/28/25
Palisades,2014/2015,12/13/14,4/26/15
Palisades,2015/2016,11/12/15,5/30/16
Palisades,2016/2017,11/23/16,7/15/17
Palisades,2017/2018,11/17/17,5/28/18
Palisades,2018/2019,11/16/18,7/7/19
Palisades,2019/2020,11/15/19,3/14/20
Palisades,2020/2021,11/24/20,5/16/21
Palisades,2021/2022,10/29/21,5/1/22
Palisades,2022/2023,11/18/22,7/4/23
Palisades,2023/2024,11/22/23,5/27/24
Palisades,2024/2025,11/27/24,6/3/25
Sugar Bowl,2014/2015,12/6/14,3/21/15
Sugar Bowl,2015/2016,11/21/15,4/24/16
Sugar Bowl,2016/2017,11/25/16,5/7/17
Sugar Bowl,2017/2018,12/6/17,4/15/18
Sugar Bowl,2018/2019,11/24/18,4/21/19
Sugar Bowl,2019/2020,11/29/19,3/14/20
Sugar Bowl,2020/2021,11/27/20,4/18/21
Sugar Bowl,2021/2022,12/15/21,4/17/22
Sugar Bowl,2022/2023,11/25/22,4/30/23
Sugar Bowl,2023/2024,12/1/23,4/28/24
Sugar Bowl,2024/2025,11/29/24,4/19/25
Kirkwood,2014/2015,12/6/14,4/19/15
Kirkwood,2015/2016,11/14/15,4/17/16
Kirkwood,2016/2017,11/25/16,4/16/17
Kirkwood,2017/2018,11/1/17,4/8/18
Kirkwood,2018/2019,11/24/18,4/23/19
Kirkwood,2019/2020,12/6/19,3/14/20
Kirkwood,2020/2021,12/4/20,4/11/21
Kirkwood,2021/2022,12/11/21,5/1/22
Kirkwood,2022/2023,11/12/22,5/14/23
Kirkwood,2023/2024,12/1/23,4/28/24
Kirkwood,2024/2025,11/26/24,4/22/25
